2023-12-21 12:03:52,917 INFO    StreamThr :2551531 [internal.py:wandb_internal():89] W&B internal server running at pid: 2551531, started at: 2023-12-21 12:03:52.915226
2023-12-21 12:03:52,927 DEBUG   HandlerThread:2551531 [handler.py:handle_request():146] handle_request: status
2023-12-21 12:03:52,942 INFO    WriterThread:2551531 [datastore.py:open_for_write():85] open: /home/tiandy/code/RAG_LTL/wandb/run-20231221_120352-e9tm2ntg/run-e9tm2ntg.wandb
2023-12-21 12:03:52,945 DEBUG   SenderThread:2551531 [sender.py:send():382] send: header
2023-12-21 12:03:52,958 DEBUG   SenderThread:2551531 [sender.py:send():382] send: run
2023-12-21 12:03:53,648 INFO    SenderThread:2551531 [dir_watcher.py:__init__():211] watching files in: /home/tiandy/code/RAG_LTL/wandb/run-20231221_120352-e9tm2ntg/files
2023-12-21 12:03:53,649 INFO    SenderThread:2551531 [sender.py:_start_run_threads():1139] run started: e9tm2ntg with start time 1703131432.910506
2023-12-21 12:03:53,673 DEBUG   HandlerThread:2551531 [handler.py:handle_request():146] handle_request: check_version
2023-12-21 12:03:53,675 DEBUG   SenderThread:2551531 [sender.py:send_request():409] send_request: check_version
2023-12-21 12:03:53,767 DEBUG   HandlerThread:2551531 [handler.py:handle_request():146] handle_request: run_start
2023-12-21 12:03:53,783 DEBUG   HandlerThread:2551531 [system_info.py:__init__():32] System info init
2023-12-21 12:03:53,783 DEBUG   HandlerThread:2551531 [system_info.py:__init__():47] System info init done
2023-12-21 12:03:53,783 INFO    HandlerThread:2551531 [system_monitor.py:start():194] Starting system monitor
2023-12-21 12:03:53,785 INFO    HandlerThread:2551531 [system_monitor.py:probe():214] Collecting system info
2023-12-21 12:03:53,785 INFO    SystemMonitor:2551531 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-21 12:03:53,788 INFO    SystemMonitor:2551531 [interfaces.py:start():190] Started cpu monitoring
2023-12-21 12:03:53,794 INFO    SystemMonitor:2551531 [interfaces.py:start():190] Started disk monitoring
2023-12-21 12:03:53,798 INFO    SystemMonitor:2551531 [interfaces.py:start():190] Started gpu monitoring
2023-12-21 12:03:53,806 INFO    SystemMonitor:2551531 [interfaces.py:start():190] Started memory monitoring
2023-12-21 12:03:53,810 INFO    SystemMonitor:2551531 [interfaces.py:start():190] Started network monitoring
2023-12-21 12:03:53,852 DEBUG   HandlerThread:2551531 [system_info.py:probe():196] Probing system
2023-12-21 12:03:53,853 DEBUG   HandlerThread:2551531 [system_info.py:_probe_git():181] Probing git
2023-12-21 12:03:53,890 DEBUG   HandlerThread:2551531 [system_info.py:_probe_git():189] Probing git done
2023-12-21 12:03:53,891 DEBUG   HandlerThread:2551531 [system_info.py:probe():244] Probing system done
